PC6,Aantal Huishoudens,Aantal Inwoners,AVG_GEVOELIG
1011AB,Onbekend,10,True
1011AC,10,20,True
1011AD,Onbekend,Onbekend,True
1011AE,Onbekend,Onbekend,True
1011AG,Onbekend,5,True
1011AH,15,30,False
1011AJ,10,20,True
1011AK,Onbekend,Onbekend,True
1011AL,Onbekend,Onbekend,True
1011AM,10,15,True
1011AN,15,25,False
1011AP,15,25,False
1011AR,55,70,False
1011AS,10,15,True
1011AT,30,40,False
1011AV,15,20,False
1011AW,10,20,True
1011AX,10,25,True
1011AZ,20,35,False
1011BA,10,20,True
1011BB,5,15,True
1011BC,30,40,False
1011BD,15,35,False
1011BG,20,30,False
1011BH,30,55,False
1011BJ,35,55,False
1011BK,10,15,True
1011BL,10,15,True
1011BM,10,15,True
1011BN,15,20,False
1011BP,15,25,False
1011BR,10,15,True
1011BS,20,35,False
1011BT,20,35,False
1011BV,20,25,False
1011BW,25,30,False
1011BX,20,30,False
1011BZ,20,30,False
1011CA,20,35,False
1011CB,15,25,False
1011CC,15,25,False
1011CD,15,30,False
1011CE,10,15,True
1011CH,20,25,False
1011CJ,10,15,True
1011CK,15,20,False
1011CL,10,15,True
1011CM,55,80,False
1011CN,Onbekend,20,True
1011CP,Onbekend,10,True
1011CR,10,20,True
1011CS,20,30,False
1011CT,15,25,False
1011CV,15,25,False
1011CW,15,30,False
1011CX,15,25,False
1011CZ,25,35,False
1011DB,Onbekend,Onbekend,True
1011DC,Onbekend,Onbekend,True
1011DD,115,215,False
1011DE,Onbekend,Onbekend,True
1011DG,75,135,False
1011DH,Onbekend,Onbekend,True
1011DJ,10,10,True
1011DK,10,15,True
1011DL,45,75,False
1011DZ,Onbekend,15,True
1011EA,40,60,False
1011EB,25,30,False
1011EC,40,55,False
1011ED,10,15,True
1011EE,20,20,False
1011EG,35,55,False
1011EH,40,45,False
1011EJ,25,40,False
1011EK,25,45,False
1011EL,25,40,False
1011EM,Onbekend,5,True
1011EN,20,35,False
1011ER,5,15,True
1011ES,Onbekend,5,True
1011ET,25,40,False
1011EV,5,10,True
1011EW,40,65,False
1011EX,25,50,False
1011EZ,5,15,True
1011GA,20,25,False
1011GB,5,5,True
1011GC,5,10,True
1011GD,50,85,False
1011GG,25,35,False
1011GH,20,30,False
1011GJ,20,35,False
1011GK,5,10,True
1011GL,75,100,False
1011GM,20,30,False
1011GN,25,35,False
1011GP,5,5,True
1011GR,25,35,False
1011GS,35,60,False
1011GT,5,10,True
1011GV,15,20,False
1011GW,15,25,False
1011GX,15,20,False
1011GZ,35,50,False
1011HA,Onbekend,Onbekend,True
1011HB,195,270,False
